Parameter Count: 5656144
Training with 208200 image pairs
/home/navid/.local/lib/python3.10/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/navid/.local/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
[ 22800,  0.0000096]     0.8166,     0.9066,     0.9301,     2.7046, 
[ 22900,  0.0000092]     0.7977,     0.8954,     0.9203,     3.5258, 
[ 23000,  0.0000088]     0.8117,     0.9079,     0.9319,     2.6447, 
[ 23100,  0.0000084]     0.8088,     0.9048,     0.9303,     2.6894, 
[ 23200,  0.0000080]     0.8147,     0.9078,     0.9313,     2.6448, 
[ 23300,  0.0000076]     0.8000,     0.9014,     0.9288,     2.6939, 
[ 23400,  0.0000071]     0.8224,     0.9069,     0.9296,     3.0672, 
[ 23500,  0.0000067]     0.8132,     0.9094,     0.9335,     2.6153, 
[ 23600,  0.0000063]     0.8250,     0.9157,     0.9365,     3.0424, 
[ 23700,  0.0000059]     0.8236,     0.9161,     0.9385,     2.3096, 
[ 23800,  0.0000055]     0.8135,     0.9061,     0.9293,     3.0004, 
[ 23900,  0.0000050]     0.8292,     0.9181,     0.9411,     2.3267, 
[ 24000,  0.0000046]     0.8262,     0.9136,     0.9364,     2.6610, 
[ 24100,  0.0000042]     0.8265,     0.9143,     0.9368,     2.5468, 
[ 24200,  0.0000038]     0.8015,     0.8993,     0.9253,     3.0262, 
[ 24300,  0.0000034]     0.8421,     0.9266,     0.9474,     2.2980, 
[ 24400,  0.0000029]     0.8168,     0.9080,     0.9313,     2.9262, 
[ 24500,  0.0000025]     0.8131,     0.9024,     0.9259,     2.8078, 
[ 24600,  0.0000021]     0.8175,     0.9106,     0.9340,     2.5549, 
[ 24700,  0.0000017]     0.8248,     0.9144,     0.9372,     2.3728, 
[ 24800,  0.0000013]     0.8139,     0.9028,     0.9285,     2.5238, 
[ 24900,  0.0000008]     0.8209,     0.9130,     0.9366,     2.4321, 
[ 25000,  0.0000004]     0.8330,     0.9184,     0.9403,     2.1437, 
Validation (clean) EPE: 1.638482, 1px: 0.872634, 3px: 0.944879, 5px: 0.961070
Validation (final) EPE: 2.365104, 1px: 0.839072, 3px: 0.920694, 5px: 0.943006
